id,skill_set,subcategory
0,"('translation', 'editing', 'blogging')","Write Content
"
1,"('translation', 'editing', 'blogging')","Translation
"
2,"('translation', 'editing', 'blogging')","Proofreading
"
3,"('translation', 'editing', 'blogging')","Novel / Short Story
"
4,"('translation', 'editing', 'blogging')","Document Typing
"
5,"('translation', 'editing', 'blogging')",Interpreter
6,"('translation', 'editing', 'interpreting')","Write Content
"
7,"('translation', 'editing', 'interpreting')","Translation
"
8,"('translation', 'editing', 'interpreting')","Proofreading
"
9,"('translation', 'editing', 'interpreting')","Novel / Short Story
"
10,"('translation', 'editing', 'interpreting')","Document Typing
"
11,"('translation', 'editing', 'interpreting')",Interpreter
12,"('translation', 'editing', 'social-media')","Write Content
"
13,"('translation', 'editing', 'social-media')","Translation
"
14,"('translation', 'editing', 'social-media')","Proofreading
"
15,"('translation', 'editing', 'social-media')","Novel / Short Story
"
16,"('translation', 'editing', 'social-media')","Document Typing
"
17,"('translation', 'editing', 'social-media')",Interpreter
18,"('translation', 'editing', 'creative-writing')","Write Content
"
19,"('translation', 'editing', 'creative-writing')","Translation
"
20,"('translation', 'editing', 'creative-writing')","Proofreading
"
21,"('translation', 'editing', 'creative-writing')","Novel / Short Story
"
22,"('translation', 'editing', 'creative-writing')","Document Typing
"
23,"('translation', 'editing', 'creative-writing')",Interpreter
24,"('translation', 'editing', 'proofreading')","Write Content
"
25,"('translation', 'editing', 'proofreading')","Translation
"
26,"('translation', 'editing', 'proofreading')","Proofreading
"
27,"('translation', 'editing', 'proofreading')","Novel / Short Story
"
28,"('translation', 'editing', 'proofreading')","Document Typing
"
29,"('translation', 'editing', 'proofreading')",Interpreter
30,"('translation', 'editing', 'education')","Write Content
"
31,"('translation', 'editing', 'education')","Translation
"
32,"('translation', 'editing', 'education')","Proofreading
"
33,"('translation', 'editing', 'education')","Novel / Short Story
"
34,"('translation', 'editing', 'education')","Document Typing
"
35,"('translation', 'editing', 'education')",Interpreter
36,"('translation', 'editing', 'technical-translation')","Write Content
"
37,"('translation', 'editing', 'technical-translation')","Translation
"
38,"('translation', 'editing', 'technical-translation')","Proofreading
"
39,"('translation', 'editing', 'technical-translation')","Novel / Short Story
"
40,"('translation', 'editing', 'technical-translation')","Document Typing
"
41,"('translation', 'editing', 'technical-translation')",Interpreter
42,"('translation', 'editing', 'multilingual')","Write Content
"
43,"('translation', 'editing', 'multilingual')","Translation
"
44,"('translation', 'editing', 'multilingual')","Proofreading
"
45,"('translation', 'editing', 'multilingual')","Novel / Short Story
"
46,"('translation', 'editing', 'multilingual')","Document Typing
"
47,"('translation', 'editing', 'multilingual')",Interpreter
48,"('translation', 'blogging', 'editing')","Write Content
"
49,"('translation', 'blogging', 'editing')","Translation
"
50,"('translation', 'blogging', 'editing')","Proofreading
"
51,"('translation', 'blogging', 'editing')","Novel / Short Story
"
52,"('translation', 'blogging', 'editing')","Document Typing
"
53,"('translation', 'blogging', 'editing')",Interpreter
54,"('translation', 'blogging', 'interpreting')","Write Content
"
55,"('translation', 'blogging', 'interpreting')","Translation
"
56,"('translation', 'blogging', 'interpreting')","Proofreading
"
57,"('translation', 'blogging', 'interpreting')","Novel / Short Story
"
58,"('translation', 'blogging', 'interpreting')","Document Typing
"
59,"('translation', 'blogging', 'interpreting')",Interpreter
60,"('translation', 'blogging', 'social-media')","Write Content
"
61,"('translation', 'blogging', 'social-media')","Translation
"
62,"('translation', 'blogging', 'social-media')","Proofreading
"
63,"('translation', 'blogging', 'social-media')","Novel / Short Story
"
64,"('translation', 'blogging', 'social-media')","Document Typing
"
65,"('translation', 'blogging', 'social-media')",Interpreter
66,"('translation', 'blogging', 'creative-writing')","Write Content
"
